2024-11-08 01:37:53.742 | INFO     | scripts.train_CUB:train_val:48 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'car_ims', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 20, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [16, 32, 64], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': -1, 'n_class': 196, 'data_path': '../../data/stanford_cars/', 'data': {'train_set': {'list_path': './data/car_ims/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/car_ims/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/car_ims/train.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_196_32.npy', 'CSQ_center': './CSQcenters/CSQ_196_32.npy', 'remarks': 'Ours', 'save_path': './results/car_ims/Ours', 'save_center': './results/car_ims/Ours/ours_32.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 8144}
2024-11-08 01:37:53.742 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 1/1000 01:37:53 bits: 32 dataset: car_ims loss way: Ours training...
2024-11-08 01:38:18.065 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.03129366380744614, center loss: 4.002006448805332, pair loss: 0
2024-11-08 01:38:18.066 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 2/1000 01:38:18 bits: 32 dataset: car_ims loss way: Ours training...
2024-11-08 01:38:42.436 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.027865327559993602, center loss: 3.563188211992383, pair loss: 0
2024-11-08 01:38:42.437 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 3/1000 01:38:42 bits: 32 dataset: car_ims loss way: Ours training...
2024-11-08 01:39:06.835 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02610428904881701, center loss: 3.33776974119246, pair loss: 0
2024-11-08 01:39:42.441 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/car_ims/Ours
2024-11-08 01:39:42.441 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 3/1000 01:38:42 bits: 32 dataset: car_ims Best mAP: 0.055485304998265664, current mAP: 0.055485304998265664
2024-11-08 01:39:42.442 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 4/1000 01:39:42 bits: 32 dataset: car_ims loss way: Ours training...
2024-11-08 01:40:06.807 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02469460866996087, center loss: 3.157323895022273, pair loss: 0
