2024-11-08 18:28:39.753 | INFO     | scripts.train_CUB:train_val:48 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'APTV99', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 20, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [16, 32, 64], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': -1, 'n_class': 99, 'data_path': '../../data/APTV99-publish/', 'data': {'train_set': {'list_path': './data/APTV99/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/APTV99/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/APTV99/train.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_99_16.npy', 'CSQ_center': './CSQcenters/CSQ_99_16.npy', 'remarks': 'Ours', 'save_path': './results/APTV99/Ours', 'save_center': './results/APTV99/Ours/ours_16.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 6138}
2024-11-08 18:28:39.754 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 1/1000 18:28:39 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:29:01.187 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.03849239154563596, center loss: 3.692744543775916, pair loss: 0
2024-11-08 18:29:01.187 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 2/1000 18:29:01 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:29:21.524 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.029600104006628197, center loss: 2.8393601048737764, pair loss: 0
2024-11-08 18:29:21.524 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 3/1000 18:29:21 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:29:41.683 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.0268507117483144, center loss: 2.575592091307044, pair loss: 0
2024-11-08 18:30:05.967 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/APTV99/Ours
2024-11-08 18:30:05.967 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 3/1000 18:29:21 bits: 16 dataset: APTV99 Best mAP: 0.7649847610767598, current mAP: 0.7649847610767598
2024-11-08 18:30:05.967 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 4/1000 18:30:05 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:30:27.384 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02520819353715827, center loss: 2.418068829923868, pair loss: 0
2024-11-08 18:30:27.384 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 5/1000 18:30:27 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:30:48.348 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02409803163027391, center loss: 2.3116288762539625, pair loss: 0
2024-11-08 18:30:48.349 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 6/1000 18:30:48 bits: 16 dataset: APTV99 loss way: Ours training...
2024-11-08 18:31:09.435 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02327402359029899, center loss: 2.232651114463806, pair loss: 0
2024-11-08 18:31:33.625 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/APTV99/Ours
